Area,Encounter Type,Density (/255),Slot 0 (Name),0-50 (LV),Slot 1 (Name),51-101 (LV),Slot 2 (Name),102-140 (LV),Slot 3 (Name),141-165 (LV),Slot 4 (Name),166-190 (LV),Slot 5 (Name),191-215 (LV),Slot 6 (Name),216-228 (LV),Slot 7 (Name),229-241 (LV),Slot 8 (Name),242-252 (LV),Slot 9 (Name),253-255 (LV)
PowerPlant,Grass,10,Voltorb,21,Magnemite,21,Pikachu,20,Pikachu,24,Magnemite,23,Voltorb,23,Magneton,32,Magneton,35,Raichu,33,Raichu,36
RockTunnel1F,Grass,15,Zubat,16,Zubat,17,Geodude,17,Machop,15,Geodude,16,Ditto,18,Zubat,15,Machop,17,Onix,13,Onix,15
RockTunnelB1F,Grass,15,Zubat,16,Zubat,17,Geodude,17,Machop,15,Geodude,16,Ditto,18,Machop,17,Onix,17,Onix,13,Geodude,18
Route1,Grass,25,Pidgey,3,Rattata,3,Rattata,3,Rattata,2,Pidgey,2,Pidgey,3,Pidgey,3,Rattata,4,Pidgey,4,Pidgey,5
Route10,Grass,15,Voltorb,16,Spearow,16,Voltorb,14,Sandshrew,11,Spearow,13,Sandshrew,15,Voltorb,17,Spearow,17,Sandshrew,13,Sandshrew,17
Route11,Grass,15,Sandshrew,14,Spearow,15,Sandshrew,12,Drowzee,9,Spearow,13,Drowzee,13,Sandshrew,15,Spearow,17,Drowzee,11,Drowzee,15
Route12,Grass,15,Oddish,24,Pidgey,25,Pidgey,23,Venonat,24,Oddish,22,Venonat,26,Oddish,26,Pidgey,27,Gloom,28,Gloom,30
Route13,Grass,20,Oddish,24,Pidgey,25,Pidgey,27,Venonat,24,Oddish,22,Venonat,26,Oddish,26,Ditto,25,Gloom,28,Gloom,30
Route14,Grass,15,Oddish,24,Pidgey,26,Ditto,23,Venonat,24,Oddish,22,Venonat,26,Oddish,26,Gloom,30,Pidgeotto,28,Pidgeotto,30
Route15,Grass,15,Oddish,24,Ditto,26,Pidgey,23,Venonat,26,Oddish,22,Venonat,28,Oddish,26,Gloom,30,Pidgeotto,28,Pidgeotto,30
Route16,Grass,25,Spearow,20,Spearow,22,Rattata,18,Doduo,20,Rattata,20,Doduo,18,Doduo,22,Rattata,22,Raticate,23,Raticate,25
Route17,Grass,25,Spearow,20,Spearow,22,Raticate,25,Doduo,24,Raticate,27,Doduo,26,Doduo,28,Raticate,29,Fearow,25,Fearow,27
Route18,Grass,25,Spearow,20,Spearow,22,Raticate,25,Doduo,24,Fearow,25,Doduo,26,Doduo,28,Raticate,29,Fearow,27,Fearow,29
SeaRoute19,Water,5,Tentacool,5,Tentacool,10,Tentacool,15,Tentacool,5,Tentacool,10,Tentacool,15,Tentacool,20,Tentacool,30,Tentacool,35,Tentacool,40
Route2,Grass,25,Rattata,3,Pidgey,3,Pidgey,4,Rattata,4,Pidgey,5,Caterpie,3,Rattata,2,Rattata,5,Caterpie,4,Caterpie,5
SeaRoute20,Water,5,Tentacool,5,Tentacool,10,Tentacool,15,Tentacool,5,Tentacool,10,Tentacool,15,Tentacool,20,Tentacool,30,Tentacool,35,Tentacool,40
Route21,Grass,25,Rattata,21,Pidgey,23,Raticate,30,Rattata,23,Pidgey,21,Pidgeotto,30,Pidgeotto,32,Tangela,28,Tangela,30,Tangela,32
Route21,Water,5,Tentacool,5,Tentacool,10,Tentacool,15,Tentacool,5,Tentacool,10,Tentacool,15,Tentacool,20,Tentacool,30,Tentacool,35,Tentacool,40
Route22,Grass,25,Rattata,3,Nidoran-F,3,Rattata,4,Nidoran-F,4,Rattata,2,Nidoran-F,2,Spearow,3,Spearow,5,Nidoran-M,3,Nidoran-M,4
Route23,Grass,10,Sandshrew,26,Ditto,33,Spearow,26,Fearow,38,Ditto,38,Fearow,38,Sandslash,41,Ditto,43,Fearow,41,Fearow,43
Route24,Grass,25,Caterpie,7,Metapod,8,Pidgey,12,Oddish,12,Oddish,13,Abra,10,Oddish,14,Pidgey,13,Abra,8,Abra,12
Route25,Grass,15,Caterpie,8,Metapod,9,Pidgey,13,Oddish,12,Oddish,13,Abra,12,Oddish,14,Abra,10,Kakuna,7,Weedle,8
Route3,Grass,20,Pidgey,6,Spearow,5,Pidgey,7,Spearow,6,Spearow,7,Pidgey,8,Spearow,8,Jigglypuff,3,Jigglypuff,5,Jigglypuff,7
Route4,Grass,20,Rattata,10,Spearow,10,Rattata,8,Sandshrew,6,Spearow,8,Sandshrew,10,Rattata,12,Spearow,12,Sandshrew,8,Sandshrew,12
Route5,Grass,15,Oddish,13,Pidgey,13,Pidgey,15,Meowth,10,Meowth,12,Oddish,15,Oddish,16,Pidgey,16,Meowth,14,Meowth,16
Route6,Grass,15,Oddish,13,Pidgey,13,Pidgey,15,Meowth,10,Meowth,12,Oddish,15,Oddish,16,Pidgey,16,Meowth,14,Meowth,16
Route7,Grass,15,Pidgey,19,Oddish,19,Meowth,17,Oddish,22,Pidgey,22,Meowth,18,Growlithe,18,Growlithe,20,Meowth,19,Meowth,20
Route8,Grass,15,Pidgey,18,Meowth,18,Sandshrew,17,Growlithe,16,Pidgey,20,Meowth,20,Sandshrew,19,Growlithe,17,Growlithe,15,Growlithe,18
Route9,Grass,15,Rattata,16,Spearow,16,Rattata,14,Sandshrew,11,Spearow,13,Sandshrew,15,Rattata,17,Spearow,17,Sandshrew,13,Sandshrew,17
SafariZoneArea1,Grass,30,Nidoran-M,22,Rhyhorn,25,Venonat,22,Exeggcute,24,Nidorino,31,Exeggcute,25,Nidorina,31,Parasect,30,Scyther,23,Chansey,23
SafariZoneArea2,Grass,30,Nidoran-M,24,Doduo,26,Paras,22,Exeggcute,25,Nidorino,33,Exeggcute,23,Nidoran-F,24,Parasect,25,Lickitung,25,Scyther,28
SafariZoneArea3,Grass,30,Nidoran-M,22,Rhyhorn,26,Paras,23,Exeggcute,25,Nidorino,30,Exeggcute,27,Nidorina,30,Venomoth,32,Chansey,26,Pinsir,28
SafariZoneArea4,Grass,30,Nidoran-M,25,Doduo,26,Venonat,23,Exeggcute,24,Nidorino,33,Exeggcute,26,Nidoran-F,25,Venomoth,31,Pinsir,26,Lickitung,28
SeafoamIslands1F,Grass,15,Seel,30,Horsea,30,Staryu,30,Krabby,30,Krabby,28,Zubat,21,Golbat,29,Slowpoke,28,Staryu,28,Slowbro,38
SeafoamIslandsB1F,Grass,10,Shellder,30,Krabby,30,Staryu,32,Krabby,32,Horsea,28,Seel,30,Horsea,30,Seel,28,Dewgong,38,Kingler,37
SeafoamIslandsB2F,Grass,10,Seel,30,Horsea,30,Seel,32,Horsea,32,Krabby,28,Shellder,30,Krabby,30,Staryu,28,Golbat,30,Jynx,37
SeafoamIslandsB3F,Grass,10,Horsea,31,Seel,31,Horsea,33,Seel,33,Krabby,29,Staryu,31,Krabby,31,Staryu,29,Kingler,39,Dewgong,37
SeafoamIslandsB4F,Grass,10,Krabby,31,Staryu,31,Krabby,33,Staryu,33,Horsea,29,Seel,31,Horsea,31,Seel,29,Jynx,39,Golbat,32
VictoryRoad1F,Grass,15,Machop,24,Geodude,26,Zubat,22,Onix,36,Onix,39,Onix,42,Graveler,41,Golbat,41,Machoke,42,Marowak,43
VictoryRoad2F,Grass,10,Machop,22,Geodude,24,Zubat,26,Onix,36,Onix,39,Onix,42,Machoke,41,Golbat,40,Marowak,40,Graveler,43
VictoryRoad3F,Grass,15,Machop,24,Geodude,26,Zubat,22,Onix,42,Venomoth,40,Onix,45,Graveler,43,Golbat,41,Machoke,42,Machoke,45
ViridianForest,Grass,8,Caterpie,4,Metapod,5,Caterpie,3,Caterpie,5,Metapod,4,Metapod,6,Kakuna,4,Weedle,3,Pikachu,3,Pikachu,5
