Area,Encounter Type,Density (/255),Slot 0 (Name),0-50 (LV),Slot 1 (Name),51-101 (LV),Slot 2 (Name),102-140 (LV),Slot 3 (Name),141-165 (LV),Slot 4 (Name),166-190 (LV),Slot 5 (Name),191-215 (LV),Slot 6 (Name),216-228 (LV),Slot 7 (Name),229-241 (LV),Slot 8 (Name),242-252 (LV),Slot 9 (Name),253-255 (LV)
Route7,Grass,15,PIDGEY,20,PIDGEY,22,RATTATA,20,ABRA,15,ABRA,19,PIDGEOTTO,24,ABRA,26,JIGGLYPUFF,19,JIGGLYPUFF,24,JIGGLYPUFF,24
Route8,Grass,15,PIDGEY,20,PIDGEY,22,RATTATA,20,ABRA,15,ABRA,19,PIDGEOTTO,24,JIGGLYPUFF,19,JIGGLYPUFF,24,KADABRA,20,KADABRA,27
Route9,Grass,15,NIDORAN_M,16,NIDORAN_F,16,RATTATA,18,NIDORAN_M,18,NIDORAN_F,18,SPEAROW,17,NIDORINO,18,NIDORINA,18,RATICATE,20,FEAROW,19
SafariZoneCenter,Grass,30,NIDORAN_M,14,NIDORAN_F,36,EXEGGCUTE,24,RHYHORN,20,NIDORINO,23,PARASECT,27,PARAS,27,PARASECT,32,TANGELA,22,CHANSEY,7
SafariZoneEast,Grass,30,NIDORAN_M,21,NIDORAN_F,29,EXEGGCUTE,22,TAUROS,21,NIDORINA,32,CUBONE,19,EXEGGCUTE,26,MAROWAK,24,CHANSEY,21,SCYTHER,15
SafariZoneNorth,Grass,30,NIDORAN_M,36,NIDORAN_F,14,EXEGGCUTE,20,RHYHORN,25,NIDORINA,23,KANGASKHAN,28,CUBONE,16,KANGASKHAN,33,SCYTHER,25,PINSIR,15
SafariZoneWest,Grass,30,NIDORAN_M,29,NIDORAN_F,21,EXEGGCUTE,22,TAUROS,21,NIDORINO,32,CUBONE,19,EXEGGCUTE,26,MAROWAK,24,PINSIR,25,TANGELA,27
SeafoamIslands1F,Grass,15,ZUBAT,18,KRABBY,25,KRABBY,27,ZUBAT,27,ZUBAT,36,SLOWPOKE,28,SLOWPOKE,30,ZUBAT,9,GOLBAT,27,GOLBAT,36
SeafoamIslandsB1F,Grass,10,ZUBAT,27,KRABBY,26,ZUBAT,36,KRABBY,28,GOLBAT,27,SLOWPOKE,29,ZUBAT,18,KINGLER,28,SEEL,22,SEEL,26
SeafoamIslandsB2F,Grass,10,ZUBAT,27,KRABBY,27,ZUBAT,36,GOLBAT,27,KINGLER,28,SEEL,24,KRABBY,29,GOLBAT,36,SLOWPOKE,31,SLOWBRO,31
SeafoamIslandsB3F,Grass,10,GOLBAT,27,ZUBAT,36,KRABBY,29,ZUBAT,27,KINGLER,30,SEEL,26,KRABBY,31,SEEL,30,DEWGONG,28,DEWGONG,32
SeafoamIslandsB3F,Water,5,TENTACOOL,25,TENTACOOL,30,TENTACOOL,20,STARYU,30,TENTACOOL,35,STARYU,30,TENTACOOL,40,STARYU,30,STARYU,30,STARYU,30
SeafoamIslandsB4F,Grass,10,GOLBAT,36,ZUBAT,36,KRABBY,30,KINGLER,32,SEEL,28,SEEL,32,GOLBAT,27,ZUBAT,45,DEWGONG,30,DEWGONG,34
SeafoamIslandsB4F,Water,5,TENTACOOL,25,TENTACOOL,30,TENTACOOL,20,STARYU,30,TENTACOOL,35,STARYU,30,TENTACOOL,40,STARYU,30,STARYU,30,STARYU,30
VictoryRoad1F,Grass,15,GEODUDE,26,GEODUDE,31,GEODUDE,36,ZUBAT,39,ZUBAT,44,GEODUDE,41,ONIX,43,ONIX,45,GRAVELER,41,GRAVELER,47
VictoryRoad2F,Grass,10,GEODUDE,31,GEODUDE,36,GEODUDE,41,ZUBAT,44,GOLBAT,39,GRAVELER,44,ONIX,45,ONIX,47,MACHOKE,39,MACHOKE,42
VictoryRoad3F,Grass,15,GEODUDE,36,GOLBAT,44,GEODUDE,41,ONIX,49,GEODUDE,46,GRAVELER,41,MACHOKE,42,MACHOKE,45,GRAVELER,47,GRAVELER,47
ViridianForest,Grass,25,CATERPIE,3,METAPOD,4,CATERPIE,4,CATERPIE,5,PIDGEY,4,PIDGEY,6,CATERPIE,6,METAPOD,6,PIDGEY,8,PIDGEOTTO,9
